frame_index,frame_timestamp_sec,num_input_points,num_valid_cells,num_nodes,num_edges,num_frontiers,t_parse_ms,t_emap_ms,t_local_ms,t_merge_ms,t_other_ms,t_graph_total_ms,t_frame_total_ms
2,61.140880498,42507,2859,37,357,7,3.0597669538110495,166.29308089613914,117.61998990550637,52.70616989582777,77.2059471346438,247.53210693597794,417.58546605706215
3,61.238354383,42504,3332,45,471,7,2.2747269831597805,2.088728826493025,8.244100958108902,3.276112023741007,6.960135884582996,18.480348866432905,23.408354027196765
4,61.335826851,42546,3629,51,556,9,2.388800960034132,2.0418919157236814,5.760862026363611,1.9358641002327204,5.099935922771692,12.796662049368024,17.76923891156912
5,61.433302527,42503,3776,55,636,9,2.465955913066864,1.6712681390345097,8.163610007613897,2.3577329702675343,5.059079034253955,15.580422012135386,20.249791909009218
6,61.530774329,42565,3920,59,722,8,2.556645078584552,2.1628879476338625,5.858215037733316,2.5660130195319653,6.064030108973384,14.488258166238666,19.81576904654503
7,61.62824963,42582,3995,60,430,17,2.406264189630747,1.72233278863132,5.283619975671172,16.062153037637472,5.790036870166659,27.135809883475304,31.815168913453817
8,61.725721598,42537,4062,63,774,9,2.33988999389112,1.8513449467718601,6.034734891727567,2.350019058212638,7.407746044918895,15.7924999948591,21.505401004105806
9,61.8231964,42551,4102,64,808,8,2.4797110818326473,2.4068751372396946,7.003088016062975,2.456478076055646,8.318620035424829,17.77818612754345,23.20812805555761
10,61.920670243,42624,4165,66,827,9,2.353245159611106,2.870803000405431,5.722059868276119,7.6457110699266195,6.058319006115198,19.426089944317937,25.297960033640265
11,62.018143169,42566,4221,68,875,8,2.337263897061348,1.7073049675673246,5.514941876754165,2.0820170175284147,7.706603966653347,15.303562860935926,19.8816719930619
12,62.115617887,42578,4258,68,875,7,2.3319339379668236,1.848118845373392,6.509574130177498,1.968905096873641,7.459871703758836,15.938350930809975,20.738085033372045
13,62.213090272,42586,4316,72,659,14,2.7384550776332617,1.8987739458680153,6.042099092155695,3.053705906495452,5.93064003624022,15.026445034891367,20.224343985319138
14,62.310565865,42577,4329,72,973,8,2.3341288324445486,1.744534820318222,7.0925450418144464,2.6791049167513847,5.580204073339701,15.351854031905532,19.99379205517471
15,62.408037958,42560,4338,73,1021,7,2.4147199001163244,1.7730691470205784,6.171891000121832,3.1724979635328054,5.412762053310871,14.757151016965508,19.504496129229665
16,62.505512218,42582,4364,73,1021,7,2.4820058606565,1.7765650991350412,7.1343230083584785,2.245954005047679,6.607347168028355,15.987624181434512,20.802155137062073
17,62.602986061,42586,4399,74,1035,7,2.3426751140505075,1.7820261418819427,6.878264946863055,2.0469611044973135,5.592296831309795,14.517522882670164,19.217530032619834
18,62.700459821,42590,4412,75,1049,7,2.494008047506213,1.7317910678684711,6.56559900380671,2.0973149221390486,5.634727189317346,14.297641115263104,19.090030808001757
19,62.797932998,42577,4429,75,617,17,2.3500779643654823,1.6982881352305412,6.0285229701548815,3.3041341230273247,5.31219388358295,14.644850976765156,19.2687448579818
20,62.895407674,42643,4448,75,1027,6,2.4215520825237036,1.7813241574913263,6.450963905081153,2.867406001314521,5.806970177218318,15.125340083613992,19.894015975296497
21,62.992880642,42603,4467,76,1058,6,2.304492983967066,1.7757629975676537,6.030326941981912,2.6722908951342106,5.6735503021627665,14.376168139278889,19.296467071399093
22,63.090354819,42588,4505,77,1076,7,2.3315739817917347,3.1964329537004232,6.224870914593339,1.9269371405243874,5.4599689319729805,13.611776987090707,19.713297951966524
23,63.187830245,42526,4559,78,1101,6,2.2777130361646414,1.6799939330667257,5.73007483035326,1.948487013578415,6.540482165291905,14.21904400922358,18.762637861073017
24,63.285303047,42499,4609,79,1101,6,2.387608867138624,2.4619281757622957,5.655304994434118,1.9959460478276014,5.128839984536171,12.78009102679789,18.166482914239168
25,63.382778056,42495,4646,80,749,17,3.1945789232850075,3.8958718068897724,6.916234968230128,3.5790090914815664,6.414295872673392,16.909539932385087,24.82355199754238
26,63.480249233,42436,4672,81,1113,7,2.3377761244773865,1.7640909645706415,5.6089679710567,2.445877995342016,5.610601045191288,13.665447011590004,18.483876017853618
27,63.577722993,42438,4719,82,1158,6,2.310223877429962,2.7939199935644865,5.125222960487008,1.9987409468740225,5.547624081373215,12.671587988734245,18.323166063055396
28,63.675197502,42381,4718,82,1161,6,2.503987168893218,1.7651738598942757,6.458768853917718,1.9586458802223206,6.173344328999519,14.590759063139558,19.43172002211213
29,63.772671637,42371,4782,84,1211,7,2.8549840208142996,2.87717510946095,5.132836988195777,2.4011540226638317,6.334847072139382,13.868838082998991,20.191102055832744
30,63.870144272,42386,4827,84,1212,7,2.6733640115708113,2.0168740302324295,6.653712829574943,2.1872040815651417,5.6388950906693935,14.479812001809478,19.75560700520873
31,63.967624657,42369,4889,84,886,17,2.4478610139340162,2.9737059958279133,5.925901932641864,3.7281280383467674,4.936149111017585,14.590179082006216,20.55752812884748
32,64.065137417,42450,4951,84,1190,9,2.418417017906904,2.3204630706459284,6.015469087287784,1.9195431377738714,6.784678669646382,14.719690894708037,20.018218085169792
33,64.162565968,42412,5036,88,1291,7,2.4614769499748945,2.757050096988678,5.954985041171312,3.514347830787301,8.938621263951063,18.407954135909677,24.204033194109797
34,64.260040228,42447,5113,88,1297,7,2.28470703586936,2.887764945626259,5.802169907838106,2.455506008118391,5.4269980173558,13.684673933312297,19.39880894497037
35,64.357513071,42542,5184,89,1320,5,2.3756870068609715,3.050009021535516,6.180027034133673,2.1560448221862316,5.916274152696133,14.252346009016037,20.25564294308424
36,64.454988331,42595,5244,90,1346,7,2.387208165600896,2.0087689626961946,5.708003882318735,2.7603658381849527,9.006488369777799,17.474858090281487,22.49289001338184
37,64.552461799,42534,5333,90,759,16,2.33766483142972,3.001516917720437,7.017494877800345,3.1281551346182823,5.870898021385074,16.0165480338037,22.003212943673134
38,64.649934392,42545,5432,95,1372,10,2.323199063539505,2.847498981282115,5.9146510902792215,2.3148830514401197,5.136903841048479,13.36643798276782,19.143651006743312
39,64.747408027,42475,5545,99,1477,9,2.3077090736478567,2.9352139681577682,5.883142119273543,2.615315141156316,5.362746538594365,13.861203799024224,19.682890037074685
40,64.84488687,42624,5659,100,1519,9,2.3449189029634,1.6885700169950724,6.147176027297974,2.183116041123867,6.4630969427526,14.79338901117444,19.41944705322385
41,64.942355213,42651,5778,101,1570,8,2.810330130159855,3.2681371085345745,7.018747041001916,5.88200893253088,6.1061999294906855,19.00695590302348,25.708047905936837
42,65.039829348,42732,5880,103,1619,7,3.1960918568074703,3.877297043800354,7.926705991849303,5.2180669736117125,8.98872409015894,22.133497055619955,29.80878297239542
43,65.137349691,42691,5950,105,1008,14,2.3163750302046537,2.76158913038671,6.638955790549517,2.8863127809017897,5.149308359250426,14.674576930701733,20.29725001193583
44,65.234778659,42797,6012,107,1684,6,2.3360028862953186,1.9597280770540237,7.191490847617388,2.163458848372102,5.78277325257659,15.13772294856608,20.00822895206511
45,65.332253044,42701,6073,110,1787,7,2.630172995850444,3.094211919233203,8.591630961745977,2.578586107119918,6.607427028939128,17.777644097805023,24.083346826955676
46,65.429725512,42661,6163,110,1791,6,2.2776329424232244,2.809758996590972,8.043756010010839,2.0857739727944136,5.676805041730404,15.806335024535656,21.57762716524303
47,65.527239605,42743,6241,113,1884,6,2.3120478726923466,1.676026964560151,5.7614638935774565,1.9650680478662252,5.58905117213726,13.315583113580942,17.918869154527783
