metric,baseline,e2e_vitb_518,e2e_vits,delta_e2e_vitb_518_minus_baseline,delta_e2e_vits_minus_baseline
num_nodes,3107.0,4337.0,4563.0,1230.0,1456.0
num_edges,10211.0,13444.0,14593.0,3233.0,4382.0
num_free,2821.0,4337.0,4563.0,1516.0,1742.0
num_frontier,286.0,0.0,0.0,-286.0,-286.0
frame_count,1449.0,2002.0,1991.0,553.0,542.0
bbox_x,76.7999267578125,66.47938537597656,67.40604400634766,-10.320541381835938,-9.393882751464844
bbox_y,147.99998474121094,149.04815673828125,148.06491088867188,1.0481719970703125,0.0649261474609375
bbox_z,7.413721561431885,8.3466215133667,8.389425277709961,0.9328999519348145,0.9757037162780762
xy_area_m2,11366.3876953125,9908.6298828125,9980.4697265625,-1457.7578125,-1385.91796875
covered_area_m2,1613.75,1583.25,1763.5,-30.5,149.75
xy_density_per_m2,1.9253292021688613,2.7393020685299225,2.587468103203856,0.8139728663610613,0.6621389010349947
z_mean,-1.938881516456604,-2.2025201320648193,-2.304957151412964,-0.26363861560821533,-0.36607563495635986
z_std,2.3668580055236816,2.560328722000122,2.5499818325042725,0.19347071647644043,0.18312382698059082
mean_nn_distance_m,0.6846851965739229,0.5683188334827213,0.5721642145247519,-0.11636636309120163,-0.11252098204917105
median_nn_distance_m,0.6339406819823085,0.5434675608937694,0.5479814403331907,-0.09047312108853911,-0.08595924164911772
avg_degree,6.572899903443837,6.199677196218584,6.396230550076704,-0.37322270722525275,-0.1766693533671324
mean_edge_len_m,0.9519997239112854,1.3872342109680176,1.3539493083953857,0.4352344870567322,0.40194958448410034
max_edge_len_m,1.7999294996261597,2.975879192352295,2.9793550968170166,1.1759496927261353,1.179425597190857
num_cc,174.0,242.0,191.0,68.0,17.0
largest_cc_size,1242.0,3603.0,4357.0,2361.0,3115.0
largest_cc_frac,0.3997425168973286,0.8307585888863269,0.9548542625465702,0.43101607198899833,0.5551117456492416
nodes_in_free,2230.0,2372.0,2415.0,142.0,185.0
nodes_in_free_pct,71.77341486964917,54.692183537007146,52.92570677186062,-17.081231332642027,-18.847708097788555
nodes_in_occ,783.0,1756.0,1837.0,973.0,1054.0
nodes_in_occ_pct,25.20115867396202,40.48881715471524,40.258601797063335,15.287658480753223,15.057443123101315
edges_mid_in_free,8045.0,8276.0,8540.0,231.0,495.0
edges_mid_in_free_pct,78.78758201939085,61.55905980362987,58.521208798739124,-17.228522215760982,-20.26637322065173
edges_mid_in_occ,1901.0,4725.0,5287.0,2824.0,3386.0
edges_mid_in_occ_pct,18.617177553618646,35.145789943469204,36.22969917083533,16.528612389850558,17.612521617216686
free_area_coverage_pct,95.68535719164049,79.9737057778992,84.62129490506761,-15.711651413741293,-11.064062286572877
planning_success_rate,0.24,0.79,0.935,0.55,0.6950000000000001
planning_mean_path_length_m,27.695317326734465,95.55918630278563,107.01344149794808,67.86386897605117,79.31812417121361
planning_median_path_length_m,25.044851422309875,88.4990026652813,93.41139096021652,63.45415124297142,68.36653953790665
planning_mean_snap_distance_m,0.2988281852540144,0.27788726561591964,0.2502160817915929,-0.020940919638094746,-0.04861210346242151
planning_n_pairs,200.0,200.0,200.0,0.0,0.0
planning_mean_path_length_common_m,27.747457294963127,46.30273361954578,52.17645731914875,18.555276324582657,24.429000024185626
planning_n_common_success_pairs,43.0,43.0,43.0,0.0,0.0
mean_t_parse_ms,4.907561264493886,nan,nan,nan,nan
mean_t_emap_ms,3.2977750289308676,nan,nan,nan,nan
mean_t_elev_extract_ms,0.4150223043546373,nan,nan,nan,nan
mean_t_local_ms,6.061152784774701,nan,nan,nan,nan
mean_t_merge_ms,2.3343414081004905,0.7723375670935901,0.7000543647779467,-1.5620038410069004,-1.6342870433225438
mean_t_update_residual_ms,10.243538075729328,nan,nan,nan,nan
mean_t_visited_time_ms,0.41479754097321453,nan,nan,nan,nan
mean_t_layers_ms,1.288899604377209,nan,nan,nan,nan
mean_t_graph_total_ms,20.78596410524173,nan,nan,nan,nan
mean_t_frame_total_ms,29.570788595569777,25.392398379500666,14.256542747371194,-4.178390216069111,-15.314245848198583
until2500_nodes_in_free,1786.0,nan,nan,nan,nan
until2500_nodes_in_free_pct,75.77428935086975,nan,nan,nan,nan
until2500_nodes_in_occ,480.0,nan,nan,nan,nan
until2500_nodes_in_occ_pct,20.364870598218072,nan,nan,nan,nan
until2500_edges_mid_in_free,6462.0,nan,nan,nan,nan
until2500_edges_mid_in_free_pct,83.6504854368932,nan,nan,nan,nan
until2500_edges_mid_in_occ,1011.0,nan,nan,nan,nan
until2500_edges_mid_in_occ_pct,13.087378640776699,nan,nan,nan,nan
until2500_planning_success_rate,0.385,nan,nan,nan,nan
until2500_planning_mean_path_length_m,26.85071027046674,nan,nan,nan,nan
until2500_planning_median_path_length_m,21.671986520290375,nan,nan,nan,nan
until2500_planning_mean_snap_distance_m,0.2837497846568068,nan,nan,nan,nan
until2500_planning_n_pairs,200.0,nan,nan,nan,nan
mean_t_inference_ms,nan,22.940162513177054,12.004362252227118,nan,nan
mean_t_edges_ms,nan,0.9353266454052142,0.8389887299228956,nan,nan
mean_t_other_ms,nan,0.7445716538248084,0.7131374004432322,nan,nan
until3396_nodes_in_free,nan,1876.0,nan,nan,nan
until3396_nodes_in_free_pct,nan,62.53333333333333,nan,nan,nan
until3396_nodes_in_occ,nan,943.0,nan,nan,nan
until3396_nodes_in_occ_pct,nan,31.433333333333334,nan,nan,nan
until3396_edges_mid_in_free,nan,6713.0,nan,nan,nan
until3396_edges_mid_in_free_pct,nan,68.05555555555556,nan,nan,nan
until3396_edges_mid_in_occ,nan,2733.0,nan,nan,nan
until3396_edges_mid_in_occ_pct,nan,27.706812652068127,nan,nan,nan
until3396_covered_area_iou_2d,nan,0.6330597889800703,nan,nan,nan
until3396_planning_success_rate,nan,0.96,nan,nan,nan
until3396_planning_mean_path_length_m,nan,78.38045282258342,nan,nan,nan
until3396_planning_median_path_length_m,nan,70.79259312152863,nan,nan,nan
until3396_planning_mean_snap_distance_m,nan,0.3096594183730323,nan,nan,nan
until3396_planning_n_pairs,nan,200.0,nan,nan,nan
until3418_nodes_in_free,nan,nan,1695.0,nan,nan
until3418_nodes_in_free_pct,nan,nan,56.5,nan,nan
until3418_nodes_in_occ,nan,nan,1027.0,nan,nan
until3418_nodes_in_occ_pct,nan,nan,34.233333333333334,nan,nan
until3418_edges_mid_in_free,nan,nan,6177.0,nan,nan
until3418_edges_mid_in_free_pct,nan,nan,61.65285956682304,nan,nan
until3418_edges_mid_in_occ,nan,nan,3121.0,nan,nan
until3418_edges_mid_in_occ_pct,nan,nan,31.15081345443657,nan,nan
until3418_covered_area_iou_2d,nan,nan,0.587466113857439,nan,nan
until3418_planning_success_rate,nan,nan,0.98,nan,nan
until3418_planning_mean_path_length_m,nan,nan,77.20893971895686,nan,nan
until3418_planning_median_path_length_m,nan,nan,72.52002811431885,nan,nan
until3418_planning_mean_snap_distance_m,nan,nan,0.4106526686185708,nan,nan
until3418_planning_n_pairs,nan,nan,200.0,nan,nan
chamfer_distance_3d_m [baseline vs e2e_vitb_518],,0.6008477210998535,,,
hausdorff_distance_3d_m [baseline vs e2e_vitb_518],,10.884859085083008,,,
bbox_iou_2d [baseline vs e2e_vitb_518],,0.849385119175207,,,
occupancy_iou_2d [baseline vs e2e_vitb_518],,0.258723558126921,,,
covered_area_iou_2d [baseline vs e2e_vitb_518],,0.6257309941520468,,,
node_density_correlation [baseline vs e2e_vitb_518],,0.35778886583709113,,,
chamfer_distance_3d_m [baseline vs e2e_vits],,,0.629115104675293,,
hausdorff_distance_3d_m [baseline vs e2e_vits],,,9.981470108032227,,
bbox_iou_2d [baseline vs e2e_vits],,,0.8557779082172269,,
occupancy_iou_2d [baseline vs e2e_vits],,,0.2517985611510791,,
covered_area_iou_2d [baseline vs e2e_vits],,,0.6283751205400193,,
node_density_correlation [baseline vs e2e_vits],,,0.3514501207745459,,
